full_text,Case Folding,cleaning,Tokenize,Negation_Handling,Negation_Changes,text_clean,translated_text,subjektivitas,polaritas,sentimen,sentiment
Menyatakan oposisi setelah pelantikan presiden baru ,menyatakan oposisi setelah pelantikan presiden baru ,menyatakan oposisi setelah pelantikan presiden baru,"['menyatakan', 'oposisi', 'setelah', 'pelantikan', 'presiden', 'baru']","['menyatakan', 'oposisi', 'setelah', 'pelantikan', 'presiden', 'baru']",,menyatakan oposisi setelah pelantikan presiden baru,declared opposition after the inauguration of the new president,0.45454545454545453,0.13636363636363635,positif,1
Sampai saat ini kondisi politik dan pertumbuhan ekonomi Indonesia baik-baik saja. Program yang masih ada kekurangan akan diperbaiki oleh presiden berikutnya. Bersama membangun bangsa. ,sampai saat ini kondisi politik dan pertumbuhan ekonomi indonesia baik-baik saja. program yang masih ada kekurangan akan diperbaiki oleh presiden berikutnya. bersama membangun bangsa. ,sampai saat ini kondisi politik dan pertumbuhan ekonomi indonesia baik baik saja program yang masih ada kekurangan akan diperbaiki oleh presiden berikutnya bersama membangun bangsa,"['sampai', 'saat', 'ini', 'kondisi', 'politik', 'dan', 'pertumbuhan', 'ekonomi', 'indonesia', 'baik', 'baik', 'saja', 'program', 'yang', 'masih', 'ada', 'kekurangan', 'akan', 'diperbaiki', 'oleh', 'presiden', 'berikutnya', 'bersama', 'membangun', 'bangsa']","['sampai', 'saat', 'ini', 'kondisi', 'politik', 'dan', 'pertumbuhan', 'ekonomi', 'indonesia', 'baik', 'baik', 'saja', 'program', 'yang', 'masih', 'ada', 'kekurangan', 'akan', 'diperbaiki', 'oleh', 'presiden', 'berikutnya', 'bersama', 'membangun', 'bangsa']",,sampai saat ini kondisi politik dan pertumbuhan ekonomi indonesia baik baik saja program yang masih ada kekurangan akan diperbaiki oleh presiden berikutnya bersama membangun bangsa,"Until now, Indonesia's political conditions and economic growth are fine, programs that still have shortcomings will be corrected by the next president together to build the nation",0.2,0.15416666666666667,positif,1
MPR lembaga tertinggi Negara ?berhak menolak pelantikan Presiden cacat konstitusi  ,mpr lembaga tertinggi negara ?berhak menolak pelantikan presiden cacat konstitusi  ,mpr lembaga tertinggi negara ?berhak menolak pelantikan presiden cacat konstitusi,"['mpr', 'lembaga', 'tertinggi', 'negara', '?', 'berhak', 'menolak', 'pelantikan', 'presiden', 'cacat', 'konstitusi']","['mpr', 'lembaga', 'tertinggi', 'negara', '?', 'berhak', 'menolak', 'pelantikan', 'presiden', 'cacat', 'konstitusi']",,mpr lembaga tertinggi negara ? berhak menolak pelantikan presiden cacat konstitusi,"MPR, the highest state institution? has the right to reject the inauguration of a constitutionally flawed president",0.5178571428571428,-0.10714285714285715,negatif,0
Menyalaa Jenderal Kami menantikan Pelantikan Presiden dan wakil presiden terpilih  ,menyalaa jenderal kami menantikan pelantikan presiden dan wakil presiden terpilih  ,menyalaa jenderal kami menantikan pelantikan presiden dan wakil presiden terpilih,"['menyalaa', 'jenderal', 'kami', 'menantikan', 'pelantikan', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih']","['menyalaa', 'jenderal', 'kami', 'menantikan', 'pelantikan', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih']",,menyalaa jenderal kami menantikan pelantikan presiden dan wakil presiden terpilih,Our generals are looking forward to the inauguration of the president and vice president-elect,0.0,0.0,netral,2
pelantikan presiden baru kalo ada kebijakannya yg aneh aneh Kita ketawain bareng ,pelantikan presiden baru kalo ada kebijakannya yg aneh aneh kita ketawain bareng ,pelantikan presiden baru kalo ada kebijakannya yg aneh aneh kita ketawain bareng,"['pelantikan', 'presiden', 'baru', 'kalo', 'ada', 'kebijakannya', 'yg', 'aneh', 'aneh', 'kita', 'ketawain', 'bareng']","['pelantikan', 'presiden', 'baru', 'kalo', 'ada', 'kebijakannya', 'yg', 'aneh', 'aneh', 'kita', 'ketawain', 'bareng']",,pelantikan presiden baru kalo ada kebijakannya yg aneh aneh kita ketawain bareng,"The inauguration of a new president, if there are strange policies, we laugh together",0.23484848484848483,0.12878787878787878,positif,1
Sepertinya setelah pelantikan presiden dunia maya bakal lebih seru war buzzer vs buzzer  ,sepertinya setelah pelantikan presiden dunia maya bakal lebih seru war buzzer vs buzzer  ,sepertinya setelah pelantikan presiden dunia maya bakal lebih seru war buzzer vs buzzer,"['sepertinya', 'setelah', 'pelantikan', 'presiden', 'dunia', 'maya', 'bakal', 'lebih', 'seru', 'war', 'buzzer', 'vs', 'buzzer']","['sepertinya', 'setelah', 'pelantikan', 'presiden', 'dunia', 'maya', 'bakal', 'lebih', 'seru', 'war', 'buzzer', 'vs', 'buzzer']",,sepertinya setelah pelantikan presiden dunia maya bakal lebih seru war buzzer vs buzzer,"It seems that after the presidential inauguration, cyberspace will be more exciting than buzzer vs buzzer wars",0.65,0.4,positif,1
Saya  menjadi presiden bagi rakyat Indonesia. Saya akan pastikan bahwa seluruh rakyat Indonesia sejahtera ,saya  menjadi presiden bagi rakyat indonesia. saya akan pastikan bahwa seluruh rakyat indonesia sejahtera ,saya menjadi presiden bagi rakyat indonesia saya akan pastikan bahwa seluruh rakyat indonesia sejahtera,"['saya', 'menjadi', 'presiden', 'bagi', 'rakyat', 'indonesia', 'saya', 'akan', 'pastikan', 'bahwa', 'seluruh', 'rakyat', 'indonesia', 'sejahtera']","['saya', 'menjadi', 'presiden', 'bagi', 'rakyat', 'indonesia', 'saya', 'akan', 'pastikan', 'bahwa', 'seluruh', 'rakyat', 'indonesia', 'sejahtera']",,saya menjadi presiden bagi rakyat indonesia saya akan pastikan bahwa seluruh rakyat indonesia sejahtera,"If I become president for the Indonesian people, I will ensure that all Indonesian people are prosperous",0.0,0.0,netral,2
 Pelantikan presiden baru kok lama sekali , pelantikan presiden baru kok lama sekali ,pelantikan presiden baru kok lama sekali,"['pelantikan', 'presiden', 'baru', 'kok', 'lama', 'sekali']","['pelantikan', 'presiden', 'baru', 'kok', 'lama', 'sekali']",,pelantikan presiden baru kok lama sekali,The inauguration of the new president took so long,0.42727272727272725,0.043181818181818175,positif,1
Pengen banget segera ada pelantikan Presiden agar janji ini segera terealisasi ,pengen banget segera ada pelantikan presiden agar janji ini segera terealisasi ,pengen banget segera ada pelantikan presiden agar janji ini segera terealisasi,"['pengen', 'banget', 'segera', 'ada', 'pelantikan', 'presiden', 'agar', 'janji', 'ini', 'segera', 'terealisasi']","['pengen', 'banget', 'segera', 'ada', 'pelantikan', 'presiden', 'agar', 'janji', 'ini', 'segera', 'terealisasi']",,pengen banget segera ada pelantikan presiden agar janji ini segera terealisasi,I really want to have a presidential inauguration soon so that this promise can be realized immediately,0.2,0.2,positif,1
 Menjelang pelantikan presiden terpilih smg tdk menghidupkan kembali HTI & FPI , menjelang pelantikan presiden terpilih smg tdk menghidupkan kembali hti & fpi ,menjelang pelantikan presiden terpilih smg tdk menghidupkan kembali hti fpi,"['menjelang', 'pelantikan', 'presiden', 'terpilih', 'smg', 'tdk', 'menghidupkan', 'kembali', 'hti', 'fpi']","['menjelang', 'pelantikan', 'presiden', 'terpilih', 'smg', 'tdk', 'menghidupkan', 'kembali', 'hti', 'fpi']",,menjelang pelantikan presiden terpilih smg tdk menghidupkan kembali hti fpi,"ahead of the inauguration of the elected president, SMG did not revive HTI FPI",0.0,0.0,netral,2
